Code;Typ;Klasse;Bewerb;Leistung;Wind;Name;Vorname;Nation;YOB;RNAT;RORT;Datum;Geschlecht;Umgebung
AR;1;MT63;400;1:10.67;;Marcantognini;Lorenzo;ITA;2002;ITA;Jesolo;2020-09-12;Male;Outdoor
AR;1;MT64;400;0:49.66;;Seitis;Michail;GRE;1987;BRA;Rio de Janeiro;2016-09-15;Male;Outdoor
AR;1;MT72;400;1:26.80;;Lutken;Odd Markus;NOR;1964;GBR;Warwickshire;2023-04-15;Male;Outdoor
AR;1;MT11;800;1:59.99;;Matthews;Rob;GBR;1961;GER;Unknown;1986-01-01;Male;Outdoor
AR;1;MT12;800;1:50.02;;Sharov;Egor;RUS;1988;FRA;Lyon;2013-07-22;Male;Outdoor
AR;1;MT13;800;1:53.16;;Sharov;Egor;RUS;1988;QAT;Doha;2015-10-23;Male;Outdoor
AR;1;MT20;800;1:49.03;;Dieng;Ndiaga;ITA;1999;ITA;Grosseto;2022-05-22;Male;Outdoor
AR;1;MT33;800;2:05.51;;Freeman;James;GBR;1996;SUI;Arbon;2023-05-21;Male;Outdoor
AR;1;MT34;800;1:39.12;;Rowlings;Ben;GBR;1996;SUI;Arbon;2017-05-25;Male;Outdoor
AR;1;MT35;800;2:29.47;;Sands;James;GBR;;GER;Berlin;1994-07-31;Male;Outdoor
AR;1;MT36;800;2:05.05;;Shvetsov;Evgenii;RUS;1988;NED;Stadskanaal;2012-06-26;Male;Outdoor
AR;1;MT37;800;1:57.17;;McKillop;Michael;IRL;1990;FRA;Lyon;2013-07-21;Male;Outdoor
AR;1;MT38;800;2:01.76;;Malone;Derek;IRL;1980;GRE;Athens;2004-09-20;Male;Outdoor
AR;1;MT46;800;1:51.82;;Matzinger;Gunther;AUT;1987;GBR;London;2012-09-08;Male;Outdoor
AR;1;MT51;800;2:30.98;;Mestre;Helder;POR;1967;UAE;Sharjah;2018-03-18;Male;Outdoor
AR;1;MT52;800;1:56.26;;Geierspichler;Thomas;AUT;1976;CHN;Beijing;2008-09-16;Male;Outdoor
AR;1;MT53;800;1:32.36;;Fairbank;Pierre;FRA;1971;SUI;Arbon;2017-05-28;Male;Outdoor
AR;1;MT54;800;1:27.76;;Hug;Marcel;SUI;1986;SUI;Arbon;2023-05-21;Male;Outdoor
